100	11	8	10510	18831	11431	222	
200	29	22	26542	49485	35551	1078		
300	79	45	49098	93061	74629	3157	
上面的忘记除deadlineFactor的个数了

100	0	0	561	1093	584	11	
200	1	1	1397	2590	1814	57	
300	3	2	2432	4510	3664	157	
400	7	3	3564	6693	6268	339	
500	11	4	4933	9552	9904	616	
600	19	7	6176	11901	14176	1069	
700	26	10	7439	13611	16869	1478（远程过，可能执行的慢了）	
700	27	10	7356	14206	19198	1763（无远程）
800	32	12	7230	16579	22564	2303	
900	48	16	9822	18609	30886	3798	
1000	61	21	10942	21495	39498	5662		
   .\dax\CyberShake_50.xml-deadlineFactor_1.500 mpcMapMy2_42的runtime：	0.057s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.009s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.008s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.009s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.01s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.405s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.466s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.393s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.409s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.416s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.486s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.421s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.508s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.406s
 .\dax\CyberShake_1000.xml-deadlineFactor_3.000 mpcMapMy2_42的runtime：	0.54s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.537s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.536s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.571s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.917s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.65s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.578s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.569s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.481s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.576s
 .\dax\CyberShake_1000.xml-deadlineFactor_4.000 mpcMapMy2_42的runtime：	0.551s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.009s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.452s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.45s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.449s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.435s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.45s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.439s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.535s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.472s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.478s
 .\dax\CyberShake_1000.xml-deadlineFactor_5.000 mpcMapMy2_42的runtime：	0.474s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.443s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.419s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.408s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.422s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.43s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.416s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.424s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.417s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.466s
 .\dax\CyberShake_1000.xml-deadlineFactor_6.000 mpcMapMy2_42的runtime：	0.795s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.029s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.348s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.387s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.402s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.393s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.374s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.37s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.335s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.334s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.361s
 .\dax\CyberShake_1000.xml-deadlineFactor_7.000 mpcMapMy2_42的runtime：	0.351s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.001s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.004s
  .\dax\CyberShake_100.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.005s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.35s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.345s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.356s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.335s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.333s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.36s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.348s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.345s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.349s
 .\dax\CyberShake_1000.xml-deadlineFactor_8.000 mpcMapMy2_42的runtime：	0.339s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.001s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.003s
   .\dax\CyberShake_50.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.002s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.006s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.007s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.005s
  .\dax\CyberShake_100.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.006s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.346s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.333s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.34s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.351s
 .\dax\CyberShake_1000.xml-deadlineFactor_9.000 mpcMapMy2_42的runtime：	0.365s
